institution_name,OPEID,conference,short_name
Texas Southern University,364200,SWAC,Texas Southern
The University of Texas Rio Grande Valley,359900,Southland,UTRGV
The University of Texas at San Antonio,1011500,American Athletic,UTSA
University of California-Santa Barbara,132000,Big West,UC Santa Barbara
Abilene Christian University,353700,WAC,Abilene Christian
California Baptist University,112500,WAC,California Baptist
Tarleton State University,363100,WAC,Tarleton State
Utah Tech University,367100,WAC,Utah Tech
Utah Valley University,402700,WAC,Utah Valley
Gonzaga University,377800,WCC,Gonzaga
Loyola Marymount University,1164900,WCC,LMU
Pepperdine University,1014900,WCC,Pepperdine
Portland State University,321600,Big Sky,Portland State
Santa Clara University,132600,WCC,Santa Clara
Seattle University,379000,WAC,Seattle U
University of Portland,322400,WCC,Portland
University of San Diego,1039500,WCC,San Diego
University of San Francisco,132500,WCC,San Francisco
University of the Pacific,132900,WCC,Pacific
